name,type,value,date
黑龙江,,9.209553058,2012
上海,,10.65430283,2012
江苏,,9.261385184,2012
浙江,,9.211227908,2012
安徽,,8.516344838,2012
福建,,8.563858837,2012
江西,,8.866513334,2012
山东,,8.779467529,2012
河南,,8.663127065,2012
湖北,,9.201578399,2012
湖南,,8.72140355,2012
广东,,9.347825558,2012
广西,,8.423902231,2012
海南,,9.147202126,2012
重庆,,8.635602412,2012
四川,,8.47831667,2012
贵州,,7.630865681,2012
云南,,7.849554328,2012
西藏,,5.071183533,2012
陕西,,9.135231317,2012
甘肃,,8.279043167,2012
青海,,7.609424558,2012
宁夏,,8.366659948,2012
新疆,,9.049911295,2012
全国,,9.047680753,2013
北京,,12.02835686,2013
天津,,10.53859437,2013
河北,,8.901720299,2013
山西,,9.356629677,2013
内蒙古,,9.010203558,2013
辽宁,,10.10491052,2013
吉林,,9.403280804,2013
黑龙江,,9.480550786,2013
上海,,10.56153523,2013
江苏,,9.422345535,2013
浙江,,9.367528909,2013
安徽,,8.524480112,2013
福建,,8.647105941,2013
江西,,9.238495549,2013
山东,,8.924759475,2013
河南,,8.783319981,2013
湖北,,9.344795038,2013
湖南,,8.957598763,2013
广东,,9.226525995,2013
广西,,8.593332582,2013
海南,,9.187712805,2013
重庆,,8.675990474,2013
四川,,8.447450373,2013
贵州,,8.042657947,2013
云南,,7.842156973,2013
西藏,,4.367391304,2013
陕西,,9.282965322,2013
甘肃,,8.346450734,2013
青海,,7.964074579,2013
宁夏,,8.707385792,2013
新疆,,8.987528077,2013
全国,,9.03682396,2014
北京,,11.85417162,2014
天津,,10.50439883,2014
河北,,8.867568002,2014
山西,,9.296580355,2014
内蒙古,,8.995183439,2014
辽宁,,9.909450059,2014
吉林,,9.372125179,2014
黑龙江,,9.354204467,2014
上海,,10.81560396,2014
江苏,,9.34981575,2014
浙江,,9.057480863,2014
安徽,,8.728227581,2014
福建,,8.792611368,2014
江西,,8.875247294,2014
山东,,8.982384106,2014
河南,,8.999873636,2014
