name,Type,value,date
"Ljubljana, Yugoslavia",Farman F-306,8,1933
"Chesterton, Indiana",Boeing 247-D,10,1933
"Etobon, France",Farman F-301,2,1933
"Portland, Oregon",Boeing 247,4,1933
"Moriarty, New Mexico",Northrop Delta,1,1933
"Near Tsinan, China",Sinson,8,1933
"Near Kharkov, Ukraine, USSR",Kalinin K-7,14,1933
"Wedron, Illinois",Boeing 247,2,1933
"Hamburg, Germany",Focke-Wulf A-17,7,1933
"Eshowe, South Africa",Junkers W-34,4,1933
"Near Ruysselede, Belgium",Avro 10,10,1933
"Corbigny, France",Dewoitine D-332,14,1934
"Carombe, France",Breguet 280T,2,1934
"Near Salt Lake City, Utah",Boeing 247,8,1934
"Rio de Oro, Morocco",Lat¨¦co¨¨re 28,1,1934
"Petersburg, Illinois",Fairchild Pilgrim 100A,4,1934
"Pereira, Colombia",Sikorsky S-38 Flying Boat,5,1934
"Near Lima, Peru",Ford 5-AT-C Tri-Motor,3,1934
"Ningpo Bay, China",Sikorsky S-38BB,3,1934
English Channel,Wibault 282T-12,6,1934
"Croydon, England",Liore-et-Olivier 213,2,1934
"Mongaup Mountain, New York",Curtiss Condor T-32,7,1934
"Junin, Argentina",Ford 5-AT-C Tri-Motor,5,1934
"Chausseehausen, Germany",Dornier Merkur,1,1934
"Burbank, California",Lockheed Orion,1,1934
"San Bernardino, California",Lockheed Vega,3,1934
"Near Tuttlingen, Germany",Curtiss AT-32C Condor,12,1934
"Bahia, Brazil",Latecoere 26,2,1934
"Ningbo, China",Sikorsky S-38B,,1934
"Amazonia, Missouri",Stinson  SM-6000B,5,1934
"Near Winton, Australia",de Havilland DH-50A,3,1934
"Bass Strait, Australia",de Havilland DH-86,11,1934
"Kiapit, Australia",De Havilland DH-61,2,1934
"Near Longreach, Australia",de Havilland DH-86,4,1934
"Near Longreach, NSW, Australia",de Havilland DH-86,4,1934
"Amazonia, Montana",Stinson SM-6000-B,2,1934
"Salchau, Germany",Junkers F-13,3,1934
"Columbia, Missouri",Lockheed Vega 5C,1,1934
"Palma Soriano, Cuba",Ford 4-AT-E Tri-motor,4,1934
"Rutbah Wells, Syria",Douglas DC-2-115A,7,1934
"Sunbright, Tennessee",Lockheed Orion 9D,1,1934
"Pittsburgh, Pennsylvania",Consolidated Fleetster,1,1935
"Stettin, Germany",Junkers JU-52/3m,11,1935
"Schievelbein, Germany",Rochrbach Roland,3,1935
"El Arish, Egypt",de Havilland Dragon 1,3,1935
"Off Samland, Germany",Junkers F-13,5,1935
"Beauvais, France",Farman F-300,1,1935
"Brilon, Germany",Fokker F-12,7,1935
"Near Walsenberg, Colorado",Lockheed Vega,1,1935
"Atlanta, Missouri",Douglas DC-2-112,5,1935
"Flint, Michigan",Ford model 4-AT-E,3,1935
"Near Moscow, Russia",Tupolev ANT-20 / I-5,50,1935
"Glendo, Wyoming",Boeing 221,1,1935
"Maywood, Illinois",Stinson SM6000B Tri-motor,2,1935
"San Barbra, Honduras",,6,1935
"Medellin, Colombia",Ford Tri-Motor / Ford Tri-Motor,17,1935
"Amsterdam, Netherlands",Fokker F-XXII,6,1935
"Off Chandeleur Island, Mississippi",General 102-E,2,1935
"Pian Giacomo, Switzerland",Douglas DC-2,13,1935
"Hangow, China",Sikorsky S-38B,,1935
"Near Gilmer, Texas",Stinson Model A,4,1935
"Near Glendo, Wyoming","Waco, model YLC",3,1935
"Walakpa, near Point Barrow, Alaska",Lockheed Orion 9E Explorer float plane,2,1935
"Burbank, California",Boeing 247,3,1935
"Off Finders Island, Victoria, Australia",de Havilland DH-86,5,1935
"Near Cheyenne, Wyoming",Boeing 247D,12,1935
Gulf of Finland,Junkers F-13,6,1935
"Troy, New York",Curtiss AT-32C Condor,1,1935
"Cheyenne, Wyoming",Boeing B-247-D,4,1935
"Off Nhambupe, Brazil",Lat¨¦co¨¨re 28-1,4,1935
"Near Juticalpa, Honduras",Ford Tri-Motor,14,1935
"Near Fort Worth, Texas",Lockheed Vega,1,1935
"Istres, France",Latecoere 28,3,1935
"Tours, France",Caudron C-630 Simoun,1,1935
"Croydon, England",Savoia-Marchetti SM73,11,1935
"Breslau, Germany",Heinkel He-70,3,1935
"Off Alexandria, Egypt",Short Calcutta,12,1935
"Goodwin, Arkansas",Douglas DC-2-120,17,1936
"Near Cordillera, Boliva",Junkers JU-52,13,1936
"Off Ajaccio, Corsica, France",CAMS 53,6,1936
"Denton, Texas",Vultee V-1,1,1936
South AtlantiOcean,Dormier Do-J-Iif Bos Wal,4,1936
"Near Tengya, China",Ford 5-AT-D Tri-Motor,0,1936
"Amemeca, Mexico",Ford 5-AT-B Tri Motor,14,1936
"Pavillon, New York",Stinson Model A,2,1936
"Uniontown, Pennsylvania",Douglas DC-2-112,13,1936
"Port of Spain, Trinidad",Sikorsky S-42A,3,1936
"Near Turin, Italy",OFM F-VIIb/3m,7,1936
Switzerland,Junkers JU-52,3,1936
"Senlis, France",Fokker F-VII,2,1936
"Basel, Switzerland",General Aviation GA-43,2,1936
"Mount Waverley, Australia",De Havilland DH-60,2,1936
"Malmo, Sweden",Fokker F-XXII,1,1936
"Hannover, Germany",Junkers JU-160,1,1936
"Mt. Lihesten, Norway",Junkers JU-52/3m,7,1936
"Off Channel Islands, Jersey",Saro Cloud,7,1936
"Mazamet, France",Wibault 280,3,1936
Mexico,Lockheed Orion,1,1936
"St. Louis, Missouri",Lockheed 10B Electra,8,1936
"Choco, Colombia",Junkers F-13,2,1936
"Altenkirchen, Germany",De Havilland DH-86,2,1936
"Mirabella, Greece",Short Kent,2,1936
English Channel,Boulton and Paul P-71,2,1936
"Walsenberg, Colorado",Lockheed Vega,3,1936
"Napierville, Illinois",Lockheed Vega 5C,4,1936
Mexico,Lockheed Orion,1,1936
,Blackburn B-2,1,1936
"Near Tabarz, Germany",Junkers JU-52,11,1936
Near Moscow,Antonov AN-9,9,1936
"Nurnberg, Germany",Junkers JU-52/3m,4,1936
"London, England",Fokker F-XII,2,1936
"Near Grenoble, France",Junkers JU-52/3m,6,1936
"Off Dakar, French West Africa",Lat¨¦co¨¨re 300,5,1936
"Croydon, England",Douglas DC-2-115E,15,1936
"Near Salt Lake City, Utah",Boeing 247D,7,1936
